, Russian Losses                    ,   destroyed ,   damaged ,   abandoned ,   captured ,   total 
1, Tanks                             ,          56 ,         2 ,          30 ,         74 ,     162 
2, Armoured Fighting Vehicles        ,          34 ,         0 ,          18 ,         46 ,      98 
3, Infantry Fighting Vehicles        ,          60 ,         0 ,          25 ,         62 ,     147 
4, Armoured Personnel Carriers       ,          16 ,         0 ,          10 ,         30 ,      56 
5, Mine-Resistant Ambush Protected   ,           2 ,         0 ,           1 ,          3 ,       6 
6, Infantry Mobility Vehicles        ,          18 ,         1 ,           2 ,         13 ,      34 
7, Communications Stations           ,           2 ,         0 ,           4 ,          2 ,       8 
8, Engineering Vehicles              ,          11 ,         0 ,          11 ,         17 ,      39 
9, Anti-Tank Guided Missiles         ,           0 ,         0 ,           0 ,         48 ,      48 
10, Man-Portable Air Defence Systems  ,           0 ,         0 ,           0 ,         16 ,      16 
11, Heavy Mortars                     ,           0 ,         0 ,           0 ,          5 ,       5 
12, Towed Artillery                   ,           4 ,         0 ,           3 ,         18 ,      25 
13, Self-Propelled Artillery          ,           5 ,         0 ,          10 ,         10 ,      25 
14, Multiple Rocket Launchers         ,           8 ,         0 ,           2 ,          9 ,      19 
15, Self-propelled Anti-Aircraft Guns ,           5 ,         0 ,           2 ,          0 ,       7 
16, Surface-To-Air Missile Systems    ,          10 ,         1 ,           6 ,          9 ,      26 
17, Radars                            ,           1 ,         0 ,           0 ,          0 ,       1 
18, Jammers And Deception Systems     ,           0 ,         1 ,           0 ,          0 ,       1 
19, Aircraft                          ,          12 ,         0 ,           0 ,          0 ,      12 
20, Unmanned Aerial Vehicles          ,           1 ,         0 ,           0 ,          1 ,       2 
21, Helicopters                       ,           8 ,         1 ,           2 ,          0 ,      11 
22, Logistics Trains                  ,           2 ,         0 ,           0 ,          0 ,       2 
23," Trucks, Vehicles and Jeeps        ",         142 ,         9 ,          37 ,        113 ,     301 
24, total                             ,         397 ,        15 ,         163 ,        476 ,    1051 
